E/RvCPT;EXPL;Ingles;Forma;es;gq;cu;do;pr;mx;gt;hn;sv;ni;cr;pa;co;ve;ec;pe;bo;cl;py;uy;ar
R;A006;Traje usado por pintores, mecánicos, etc., que consiste en un pantalón con peto y mangas en una sola pieza.;OVERALLS;jardinero;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+
R;A006;Traje usado por pintores, mecánicos, etc., que consiste en un pantalón con peto y mangas en una sola pieza.;OVERALLS;mameluco;-;-;-;+;+;-;-;-;-;-;+;+;-;-;+;-;-;+;+;+;+
R;A006;Traje usado por pintores, mecánicos, etc., que consiste en un pantalón con peto y mangas en una sola pieza.;OVERALLS;mecánico;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A006;Traje usado por pintores, mecánicos, etc., que consiste en un pantalón con peto y mangas en una sola pieza.;OVERALLS;mono;+;+;+;+;+;-;-;-;-;-;+;+;-;-;-;-;-;-;-;-;-
R;A006;Traje usado por pintores, mecánicos, etc., que consiste en un pantalón con peto y mangas en una sola pieza.;OVERALLS;overol;-;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
R;A006;Traje usado por pintores, mecánicos, etc., que consiste en un pantalón con peto y mangas en una sola pieza.;OVERALLS;pantalón de peto;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A006;Traje usado por pintores, mecánicos, etc., que consiste en un pantalón con peto y mangas en una sola pieza.;OVERALLS;peto;+;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A006;Traje usado por pintores, mecánicos, etc., que consiste en un pantalón con peto y mangas en una sola pieza.;OVERALLS;yonsú;-;-;-;+;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A007;Prenda de vestir cuadrada con una abertura en el centro por la que se mete la cabeza.;PONCHO;jorongo;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A007;Prenda de vestir cuadrada con una abertura en el centro por la que se mete la cabeza.;PONCHO;mañanita ;-;-;-;-;-;+;-;+;-;-;-;+;-;-;-;-;-;-;+;-;-
R;A007;Prenda de vestir cuadrada con una abertura en el centro por la que se mete la cabeza.;PONCHO;manta;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;+;-;-;-
R;A007;Prenda de vestir cuadrada con una abertura en el centro por la que se mete la cabeza.;PONCHO;poncho;+;-;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+
R;A007;Prenda de vestir cuadrada con una abertura en el centro por la que se mete la cabeza.;PONCHO;ruana;-;-;-;-;-;+;-;-;-;-;-;+;+;+;-;-;-;-;-;-;-
R;A008;Pantalón del tejido crudo de color azul.;JEANS;azulón;-;-;-;-;-;-;-;+;-;+;-;-;-;-;-;-;-;-;-;-;-
R;A008;Pantalón del tejido crudo de color azul.;JEANS;blue jean [bluyín];-;-;-;-;-;-;-;-;+;+;-;-;+;+;-;-;-;+;-;-;-
R;A008;Pantalón del tejido crudo de color azul.;JEANS;blue jeans [bluyíns];-;-;+;+;+;+;-;-;+;+;-;-;+;+;-;-;+;+;-;+;-
R;A008;Pantalón del tejido crudo de color azul.;JEANS;jeans [yíns];-;+;+;+;+;+;+;+;-;+;+;+;+;-;+;+;+;+;+;+;+
R;A008;Pantalón del tejido crudo de color azul.;JEANS;Lois [lóis];-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A008;Pantalón del tejido crudo de color azul.;JEANS;mahón;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A008;Pantalón del tejido crudo de color azul.;JEANS;mahones;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A008;Pantalón del tejido crudo de color azul.;JEANS;pantalón de lona;-;-;-;-;-;-;+;-;-;-;-;-;-;-;-;-;-;-;+;-;-
R;A008;Pantalón del tejido crudo de color azul.;JEANS;pantalón de mezclilla;-;-;+;-;-;+;-;-;-;-;+;-;-;-;-;-;-;+;-;-;-
R;A008;Pantalón del tejido crudo de color azul.;JEANS;pantalón vaquero;+;+;-;-;-;+;-;-;-;-;-;+;-;-;-;-;-;-;+;-;+
R;A008;Pantalón del tejido crudo de color azul.;JEANS;pantalones de mezclilla;-;-;+;-;-;+;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
R;A008;Pantalón del tejido crudo de color azul.;JEANS;pantalones tejanos;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
